vision_encoder,text_encoder,vision_setup,fusion_type,use_local_blf,use_global_blf,val_loss,i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_i2t,median_rank_i2t,mean_rank_t2i,median_rank_t2i,params_total,params_trainable
efficientnet_b0,e5_small_v2,efficientnet_b0 local,concat_mlp,True,False,1.28909950580778,0.03420000150799751,0.11999999731779099,0.2037999927997589,0.041200000792741776,0.1477999985218048,0.23479999601840973,116.80259704589844,41.0,98.23619842529297,36.0,39083101.0,1715553.0
efficientnet_b0,all_minilm_l6_v2,efficientnet_b0 local,concat_mlp,True,False,0.9838472868822798,0.06419999897480011,0.20200000703334808,0.3142000138759613,0.07159999758005142,0.2248000055551529,0.3416000008583069,77.99140167236328,25.0,67.65160369873047,21.0,28436317.0,1715553.0
convnext_tiny,bge_small_en,convnext_tiny local,concat_mlp,True,False,0.7377641868742206,0.09099999815225601,0.2775999903678894,0.41019999980926514,0.10199999809265137,0.298799991607666,0.43959999084472656,45.473201751708984,15.0,42.94139862060547,14.0,62633537.0,1453409.0
convnext_tiny,e5_small_v2,convnext_tiny local,concat_mlp,True,False,0.8332363329356229,0.07800000160932541,0.24539999663829803,0.373199999332428,0.07760000228881836,0.23520000278949738,0.36239999532699585,49.50600051879883,18.0,56.482200622558594,18.0,62633537.0,1453409.0
convnext_tiny,all_minilm_l6_v2,convnext_tiny local,concat_mlp,True,False,0.6667964384902881,0.1111999973654747,0.3093999922275543,0.448199987411499,0.13920000195503235,0.3571999967098236,0.4880000054836273,39.5796012878418,13.0,37.95719909667969,11.0,51986753.0,1453409.0
convnextv2_tiny,bge_small_en,convnextv2_tiny global,concat_mlp,False,True,0.7589422894429557,0.08940000087022781,0.2773999869823456,0.4142000079154968,0.10440000146627426,0.2978000044822693,0.42399999499320984,48.883201599121094,15.0,49.63479995727539,15.0,62708641.0,1482145.0
convnextv2_tiny,e5_small_v2,convnextv2_tiny global,concat_mlp,False,True,0.855952816673472,0.07580000162124634,0.23800000548362732,0.3612000048160553,0.08619999885559082,0.25220000743865967,0.37599998712539673,54.224998474121094,19.0,57.589599609375,18.0,62708641.0,1482145.0
convnextv2_tiny,all_minilm_l6_v2,convnextv2_tiny global,concat_mlp,False,True,0.7063512270209156,0.11180000007152557,0.29820001125335693,0.4327999949455261,0.11860000342130661,0.33160001039505005,0.4674000144004822,44.152198791503906,14.0,45.39699935913086,12.0,52061857.0,1482145.0
convnextv2_tiny,minilm_l6,convnextv2_tiny global,concat_mlp,False,True,0.7063512270209156,0.11180000007152557,0.29820001125335693,0.4327999949455261,0.11860000342130661,0.33160001039505005,0.4674000144004822,44.152198791503906,14.0,45.39699935913086,12.0,52061857.0,1482145.0
convnextv2_tiny,distilbert,convnextv2_tiny global,concat_mlp,False,True,1.082341090787815,0.04879999905824661,0.1615999937057495,0.26600000262260437,0.05900000035762787,0.19120000302791595,0.29499998688697815,81.4301986694336,29.0,78.77439880371094,27.0,95908129.0,1678753.0
dinov2_vits14,bge_small_en,dinov2_vits14 global,concat_mlp,False,True,0.6914508935016922,0.09920000284910202,0.3046000003814697,0.4480000138282776,0.11819999665021896,0.33219999074935913,0.46299999952316284,42.203800201416016,13.0,40.20940017700195,12.0,56702113.0,1285537.0
dinov2_vits14,e5_small_v2,dinov2_vits14 global,concat_mlp,False,True,0.7346394258209422,0.09380000084638596,0.28859999775886536,0.4163999855518341,0.10719999670982361,0.3109999895095825,0.44020000100135803,46.71080017089844,15.0,44.9203987121582,14.0,56702113.0,1285537.0
dinov2_vits14,all_minilm_l6_v2,dinov2_vits14 global,concat_mlp,False,True,0.7011615520791162,0.10639999806880951,0.30660000443458557,0.44279998540878296,0.133200004696846,0.3476000130176544,0.4862000048160553,46.29399871826172,13.0,41.26179885864258,11.0,46055329.0,1285537.0
dinov2_vits14,minilm_l6,dinov2_vits14 global,concat_mlp,False,True,0.7011615520791162,0.10639999806880951,0.30660000443458557,0.44279998540878296,0.133200004696846,0.3476000130176544,0.4862000048160553,46.29399871826172,13.0,41.26179885864258,11.0,46055329.0,1285537.0
dinov2_vits14,distilbert,dinov2_vits14 global,concat_mlp,False,True,1.0447848092151593,0.04919999837875366,0.18019999563694,0.28360000252723694,0.06499999761581421,0.21199999749660492,0.3192000091075897,77.87020111083984,27.0,74.90679931640625,24.0,89901601.0,1482145.0
swin_tiny,bge_small_en,swin_tiny global,concat_mlp,False,True,0.8645622626512866,0.07519999891519547,0.24500000476837158,0.36000001430511475,0.09000000357627869,0.2655999958515167,0.39320001006126404,57.55799865722656,19.0,53.70180130004883,17.0,62361499.0,1482145.0
swin_tiny,e5_small_v2,swin_tiny global,concat_mlp,False,True,0.9153068186361578,0.06319999694824219,0.21860000491142273,0.3368000090122223,0.07540000230073929,0.2280000001192093,0.34380000829696655,60.02439880371094,21.0,60.37220001220703,20.0,62361499.0,1482145.0
swin_tiny,all_minilm_l6_v2,swin_tiny global,concat_mlp,False,True,0.8372635034066213,0.08240000158548355,0.2603999972343445,0.3815999925136566,0.09740000218153,0.2818000018596649,0.41339999437332153,58.98820114135742,18.0,51.790401458740234,15.0,51714715.0,1482145.0
