vision_encoder,text_encoder,variant,use_local_blf,use_global_blf,fusion_type,selection_metric,best_epoch,seed,batch_size,run_dir,train_loss,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,val_loss,logit_scale,params_total,params_trainable,mean_R@1
efficientnet_b0,bge_small_en,baseline,False,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/efficientnet_b0_bge_small_en_baseline,1.0370245687925477,0.0865999981760978,0.2617999911308288,0.3917999863624573,57.512001037597656,17.0,0.0873999968171119,0.2669999897480011,0.3840000033378601,54.42160034179688,17.0,0.8364262790242328,16.577289581298828,39009533.0,1641985.0,0.08699999749660485
efficientnet_b0,bge_small_en,global,False,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/efficientnet_b0_bge_small_en_global,1.0426221323890128,0.0879999995231628,0.2612000107765198,0.395000010728836,55.56039810180664,17.0,0.0887999981641769,0.2653999924659729,0.3980000019073486,52.04399871826172,17.0,0.8220881040714965,16.485366821289062,39111837.0,1744289.0,0.08839999884366985
efficientnet_b0,bge_small_en,local,True,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/efficientnet_b0_bge_small_en_local,0.9551359484765,0.0882000029087066,0.2612000107765198,0.380400002002716,57.995399475097656,18.0,0.090999998152256,0.2660000026226043,0.3905999958515167,54.994998931884766,17.0,0.8423714481199844,16.70521354675293,39083101.0,1715553.0,0.0896000005304813
efficientnet_b0,bge_small_en,local_global,True,True,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/efficientnet_b0_bge_small_en_local_global,0.2738533585144457,0.0904000028967857,0.261599987745285,0.3887999951839447,54.51639938354492,17.0,0.0882000029087066,0.2720000147819519,0.3916000127792358,51.47499847412109,17.0,0.8094660071538219,19.09611320495605,39185405.0,1817857.0,0.08930000290274615
efficientnet_b0,distilbert,baseline,False,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/efficientnet_b0_distilbert_baseline,0.5664556289808651,0.0520000010728836,0.1762000024318695,0.2766000032424927,77.4219970703125,29.0,0.0542000010609626,0.1940000057220459,0.2962000072002411,70.01419830322266,26.0,0.6554302005393869,18.802570343017575,72209021.0,1838593.0,0.0531000010669231
efficientnet_b0,distilbert,global,False,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/efficientnet_b0_distilbert_global,0.6634388444494413,0.0540000014007091,0.1770000010728836,0.2800000011920929,79.22440338134766,28.0,0.0551999993622303,0.1770000010728836,0.2858000099658966,75.44619750976562,29.0,1.0689329531373857,16.62548828125,72311325.0,1940897.0,0.0546000003814697
efficientnet_b0,distilbert,local,True,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/efficientnet_b0_distilbert_local,0.8254008862281117,0.0599999986588954,0.1935999989509582,0.2996000051498413,76.40979766845703,27.0,0.061999998986721,0.2039999961853027,0.3052000105381012,72.06120300292969,24.0,1.019694709183672,16.8923397064209,72282589.0,1912161.0,0.060999998822808196
efficientnet_b0,distilbert,local_global,True,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/efficientnet_b0_distilbert_local_global,0.78920295066515,0.0644000023603439,0.1985999941825866,0.3082000017166137,70.71080017089844,25.0,0.0674000009894371,0.2064000070095062,0.3160000145435333,69.69059753417969,24.0,0.9899367379802692,16.936630249023438,72384893.0,2014465.0,0.0659000016748905
efficientnet_b0,e5_small_v2,baseline,False,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/efficientnet_b0_e5_small_v2_baseline,0.7884393981569776,0.0817999988794326,0.2372000068426132,0.3619999885559082,61.55099868774414,21.0,0.0780000016093254,0.2381999939680099,0.3458000123500824,57.67300033569336,21.0,0.8863032577158529,16.74576759338379,39009533.0,1641985.0,0.07990000024437899
efficientnet_b0,e5_small_v2,global,False,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/efficientnet_b0_e5_small_v2_global,0.8485551003231719,0.0795999988913536,0.2386000007390976,0.3549999892711639,61.81019973754883,20.0,0.0816000029444694,0.2422000020742416,0.3535999953746795,57.46720123291016,19.0,0.894636438994468,16.79485511779785,39111837.0,1744289.0,0.0806000009179115
efficientnet_b0,e5_small_v2,local,True,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/efficientnet_b0_e5_small_v2_local,0.7112524132407988,0.0671999976038932,0.2073999941349029,0.3203999996185303,66.49259948730469,23.0,0.0754000023007392,0.2305999994277954,0.3458000123500824,60.41299819946289,22.0,0.9353201962724516,16.698972702026367,39083101.0,1715553.0,0.0712999999523162
efficientnet_b0,e5_small_v2,local_global,True,True,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/efficientnet_b0_e5_small_v2_local_global,0.1202474434728084,0.0759999975562095,0.2300000041723251,0.3409999907016754,66.2605972290039,21.0,0.0806000009179115,0.2368000000715255,0.3576000034809112,58.60139846801758,19.0,0.9076711965512626,18.939115524291992,39185405.0,1817857.0,0.07829999923706049
swin_tiny,all_minilm_l6_v2,baseline,False,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/swin_tiny_all_minilm_l6_v2_baseline,0.6665800776979355,0.1125999987125396,0.3248000144958496,0.4632000029087066,43.249000549316406,12.0,0.1216000020503997,0.3443999886512756,0.4812000095844269,42.7775993347168,12.0,0.6784413490397266,18.447404861450195,51612411.0,1379841.0,0.11710000038146964
swin_tiny,all_minilm_l6_v2,global,False,True,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/swin_tiny_all_minilm_l6_v2_global,0.6409881501148816,0.1191999986767768,0.3278000056743622,0.4560000002384186,45.0984001159668,13.0,0.1280000060796737,0.3384000062942505,0.4778000116348266,42.69720077514648,12.0,0.6865016056012504,18.66238594055176,51714715.0,1482145.0,0.12360000237822526
swin_tiny,all_minilm_l6_v2,local,True,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/swin_tiny_all_minilm_l6_v2_local,0.6726020091349786,0.1147999987006187,0.3283999860286712,0.4688000082969665,44.75400161743164,12.0,0.1275999993085861,0.3429999947547912,0.4867999851703644,43.049198150634766,11.0,0.6751994264276722,18.326740264892575,51685979.0,1453409.0,0.1211999990046024
