config_id,vision_encoder,text_encoder,variant,task_id,raw_value,normalised_score,rank,absolute_gap_to_best,relative_gap_to_best
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,cifar100,0.1777999997138977,0.5968445952401318,21.0,0.1200999915599823,0.4031554047598682
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,cifar100,0.2099000066518783,0.7045989016458304,16.0,0.0879999846220017,0.2954010983541696
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,cifar100,0.1977999955415725,0.6639812062287753,17.0,0.10009999573230752,0.3360187937712247
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,cifar100,0.1668999940156936,0.5602551154902551,23.0,0.1309999972581864,0.4397448845097449
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,cifar100,0.1903000026941299,0.6388049958657903,18.0,0.10759998857975012,0.3611950041342097
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,pets,0.0489130429923534,0.6666666835914425,13.0,0.024456519633531598,0.33333331640855746
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,pets,0.0461956523358821,0.6296296540765276,14.0,0.0271739102900029,0.3703703459234724
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,pets,0.0421195663511753,0.5740741098041573,16.0,0.031249996274709695,0.4259258901958427
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,pets,0.050271738320589,0.6851851983488993,11.0,0.023097824305295993,0.31481480165110065
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,pets,0.0516304336488246,0.703703713106356,10.0,0.021739128977060394,0.29629628689364396
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,pets,0.0584239140152931,0.7962963376679715,7.0,0.014945648610591895,0.20370366233202852
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,pets,0.0611413046717643,0.833333367182885,6.0,0.012228257954120698,0.16666663281711502
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,pets,0.0285326093435287,0.38888891145525667,22.0,0.0448369532823563,0.6111110885447433
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,pets,0.0706521719694137,0.9629629704850852,2.0,0.002717390656471294,0.03703702951491483
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,pets,0.0421195663511753,0.5740741098041573,16.0,0.031249996274709695,0.4259258901958427
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,pets,0.0421195663511753,0.5740741098041573,16.0,0.031249996274709695,0.4259258901958427
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,pets,0.0692934766411781,0.9444444557276285,3.0,0.0040760859847068925,0.055555544272371526
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,pets,0.050271738320589,0.6851851983488993,11.0,0.023097824305295993,0.31481480165110065
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,pets,0.0380434766411781,0.5185185147574568,20.0,0.03532608598470689,0.4814814852425432
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,pets,0.073369562625885,1.0,1.0,0.0,0.0
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,pets,0.0461956523358821,0.6296296540765276,14.0,0.0271739102900029,0.3703703459234724
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,pets,0.0584239140152931,0.7962963376679715,7.0,0.014945648610591895,0.20370366233202852
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,pets,0.0217391308397054,0.2962963122808064,23.0,0.0516304317861796,0.7037036877191936
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,pets,0.03125,0.42592594097017156,21.0,0.042119562625884996,0.5740740590298284
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,pets,0.0652173906564712,0.8888889114552566,4.0,0.008152171969413799,0.11111108854474339
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,pets,0.0625,0.8518518819403431,5.0,0.010869562625884996,0.14814811805965689
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,pets,0.0407608710229396,0.5555555950466992,19.0,0.0326086916029454,0.44444440495330084
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,pets,0.0557065233588218,0.7592593081530565,9.0,0.017663039267063196,0.24074069184694347
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,eurosat,0.1748148202896118,0.7849224228652847,16.0,0.04790122807025912,0.21507757713471531
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,eurosat,0.1518518477678299,0.681818166612149,19.0,0.07086420059204102,0.318181833387851
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,eurosat,0.1827160567045211,0.8203991497248698,13.0,0.039999991655349815,0.17960085027513017
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,eurosat,0.1990123391151428,0.8935698194212436,5.0,0.023703709244728116,0.10643018057875642
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,eurosat,0.2153086364269256,0.9667405560241613,2.0,0.007407411932945307,0.03325944397583869
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,eurosat,0.1832098811864853,0.8226164326086173,12.0,0.03950616717338562,0.17738356739138272
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,eurosat,0.1683950573205948,0.7560975446569403,18.0,0.05432099103927612,0.24390245534305965
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,eurosat,0.1202469170093536,0.5399113260803515,23.0,0.10246913135051731,0.46008867391964847
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,eurosat,0.1930864155292511,0.8669622910031907,9.0,0.029629632830619812,0.13303770899680933
